id,title,description,url,wikidata_id,inserted_at,updated_at
1,Albatross (metaphor),Metaphor,https://en.m.wikipedia.org/wiki/Albatross_(metaphor),Q4709452,2020-05-30 20:45:25,2020-05-30 20:45:25
2,Astroturfing,"Marketing tactic of creating ""grassroots"" organizations",https://en.m.wikipedia.org/wiki/Astroturfing,Q752177,2020-05-30 20:45:25,2020-05-30 20:45:25
3,Attention economy,economic view of human attention as a commodity,https://en.m.wikipedia.org/wiki/Attention_economy,Q295287,2020-05-30 20:45:25,2020-05-30 20:45:25
4,Autodidacticism,Independent education without the guidance of masters,https://en.m.wikipedia.org/wiki/Autodidacticism,Q207650,2020-05-30 20:45:25,2020-05-30 20:45:25
5,Bright-line rule,Judicial test using clearly defined and objective factors,https://en.m.wikipedia.org/wiki/Bright-line_rule,Q4967356,2020-05-30 20:45:25,2020-05-30 20:45:25
6,Café de olla,Mexican coffee drink,https://en.m.wikipedia.org/wiki/Caf%C3%A9_de_olla,Q5739217,2020-05-30 20:45:25,2020-05-30 20:45:25
7,Cargo cult programming,Ritual inclusion of computer code that serve no purpose,https://en.m.wikipedia.org/wiki/Cargo_cult_programming,Q1027351,2020-05-30 20:45:25,2020-05-30 20:45:25
8,Clever Hans,Early 20th-century horse claimed to have been able to do mathematics,https://en.m.wikipedia.org/wiki/Clever_Hans,Q1127291,2020-05-30 20:45:25,2020-05-30 20:45:25
9,Conscientiousness,Personality trait of being orderly and following the rules,https://en.m.wikipedia.org/wiki/Conscientiousness,Q1307067,2020-05-30 20:45:25,2020-05-30 20:45:25
10,Cumbia,Folkloric genre and dance from Colombia.,https://en.m.wikipedia.org/wiki/Cumbia,Q723418,2020-05-30 20:45:25,2020-05-30 20:45:25
11,Decoy effect,Phenomenon in marketing,https://en.m.wikipedia.org/wiki/Decoy_effect,Q205154,2020-05-30 20:45:25,2020-05-30 20:45:25
12,Double bind,Psychological dilemma,https://en.m.wikipedia.org/wiki/Double_bind,Q1242876,2020-05-30 20:45:25,2020-05-30 20:45:25
13,Dutch auction,"Type of auction which begins with a high asking price, and lowers it.",https://en.m.wikipedia.org/wiki/Dutch_auction,Q727746,2020-05-30 20:45:25,2020-05-30 20:45:25
14,Exceptionalism,"belief that a species, country, society, institution, movement, individual, or time period is ""exceptional",https://en.m.wikipedia.org/wiki/Exceptionalism,Q1076085,2020-05-30 20:45:25,2020-05-30 20:45:25
