title,description,url,wikidata_id,inserted_at,updated_at
Albatross (metaphor),Metaphor,https://en.m.wikipedia.org/wiki/Albatross_(metaphor),Q4709452,2020-05-30 20:45:25,2020-05-30 20:45:25
Astroturfing,"Marketing tactic of creating ""grassroots"" organizations",https://en.m.wikipedia.org/wiki/Astroturfing,Q752177,2020-05-30 20:45:25,2020-05-30 20:45:25
Attention economy,economic view of human attention as a commodity,https://en.m.wikipedia.org/wiki/Attention_economy,Q295287,2020-05-30 20:45:25,2020-05-30 20:45:25
Autodidacticism,Independent education without the guidance of masters,https://en.m.wikipedia.org/wiki/Autodidacticism,Q207650,2020-05-30 20:45:25,2020-05-30 20:45:25
Bright-line rule,Judicial test using clearly defined and objective factors,https://en.m.wikipedia.org/wiki/Bright-line_rule,Q4967356,2020-05-30 20:45:25,2020-05-30 20:45:25
Café de olla,Mexican coffee drink,https://en.m.wikipedia.org/wiki/Caf%C3%A9_de_olla,Q5739217,2020-05-30 20:45:25,2020-05-30 20:45:25
Cargo cult programming,Ritual inclusion of computer code that serve no purpose,https://en.m.wikipedia.org/wiki/Cargo_cult_programming,Q1027351,2020-05-30 20:45:25,2020-05-30 20:45:25
Clever Hans,Early 20th-century horse claimed to have been able to do mathematics,https://en.m.wikipedia.org/wiki/Clever_Hans,Q1127291,2020-05-30 20:45:25,2020-05-30 20:45:25
Conscientiousness,Personality trait of being orderly and following the rules,https://en.m.wikipedia.org/wiki/Conscientiousness,Q1307067,2020-05-30 20:45:25,2020-05-30 20:45:25
Cumbia,Folkloric genre and dance from Colombia.,https://en.m.wikipedia.org/wiki/Cumbia,Q723418,2020-05-30 20:45:25,2020-05-30 20:45:25
Decoy effect,Phenomenon in marketing,https://en.m.wikipedia.org/wiki/Decoy_effect,Q205154,2020-05-30 20:45:25,2020-05-30 20:45:25
Double bind,Psychological dilemma,https://en.m.wikipedia.org/wiki/Double_bind,Q1242876,2020-05-30 20:45:25,2020-05-30 20:45:25
Dutch auction,"Type of auction which begins with a high asking price, and lowers it.",https://en.m.wikipedia.org/wiki/Dutch_auction,Q727746,2020-05-30 20:45:25,2020-05-30 20:45:25
Exceptionalism,"belief that a species, country, society, institution, movement, individual, or time period is ""exceptional",https://en.m.wikipedia.org/wiki/Exceptionalism,Q1076085,2020-05-30 20:45:25,2020-05-30 20:45:25
False consensus effect,Attributional type of cognitive bias,https://en.m.wikipedia.org/wiki/False_consensus_effect,Q908850,2020-05-30 20:45:25,2020-05-30 20:45:25
Falsifiability,Possibility of a statement to be proven wrong by observation,https://en.m.wikipedia.org/wiki/Falsifiability,Q220888,2020-05-30 20:45:25,2020-05-30 20:45:25
Faust,Protagonist of a classic German legend,https://en.m.wikipedia.org/wiki/Faust,Q332885,2020-05-30 20:45:25,2020-05-30 20:45:25
Fermat's principle,Principle of least time,https://en.m.wikipedia.org/wiki/Fermat's_principle,Q331041,2020-05-30 20:45:25,2020-05-30 20:45:25
Florida Man,Internet meme about weird conduct by men from Florida,https://en.m.wikipedia.org/wiki/Florida_Man,Q19879826,2020-05-30 20:45:25,2020-05-30 20:45:25
Hedonic treadmill,Psychological concept,https://en.m.wikipedia.org/wiki/Hedonic_treadmill,Q5697619,2020-05-30 20:45:25,2020-05-30 20:45:25
History of Chinese Americans,History of ethnic Chinese in the United States,https://en.m.wikipedia.org/wiki/History_of_Chinese_Americans,Q1516704,2020-05-30 20:45:25,2020-05-30 20:45:25
Homomorphic encryption,A form of encryption that allows computation on ciphertexts,https://en.m.wikipedia.org/wiki/Homomorphic_encryption,Q2154943,2020-05-30 20:45:25,2020-05-30 20:45:25
Inflection point,Point where a curve crosses its tangent and the curvature changes of sign,https://en.m.wikipedia.org/wiki/Inflection_point,Q212794,2020-05-30 20:45:25,2020-05-30 20:45:25
Kayfabe,"In professional wrestling, the portrayal of staged events as if they were true",https://en.m.wikipedia.org/wiki/Kayfabe,Q387294,2020-05-30 20:45:25,2020-05-30 20:45:25
Law of triviality,Focusing on what is irrelevant but easy to understand,https://en.wikipedia.org/wiki/Law_of_triviality,Q169899,2020-05-30 20:45:25,2020-05-30 20:45:25
Chauvet Cave,Cave in France with best-preserved cave paintings,http://en.m.wikipedia.org/wiki/Chauvet_Cave,Q374096,2020-05-30 20:45:25,2020-05-30 20:45:25
Linguistic relativity,linguistic hypothesis,https://en.m.wikipedia.org/wiki/Linguistic_relativity,Q179677,2020-05-30 20:45:25,2020-05-30 20:45:25
Nothing to hide argument,Argument that one doesn't need privacy unless someone is doing something wrong,https://en.m.wikipedia.org/wiki/Nothing_to_hide_argument,Q15627872,2020-05-30 20:45:25,2020-05-30 20:45:25
Ontology,"Study of the nature of being, becoming, existence or reality, as well as the basic categories of being and their relations",https://en.m.wikipedia.org/wiki/Ontology,Q44325,2020-05-30 20:45:25,2020-05-30 20:45:25
Overton window,Range of ideas tolerated in public discourse,https://en.m.wikipedia.org/wiki/Overton_window,Q542950,2020-05-30 20:45:25,2020-05-30 20:45:25
Peter principle,Concept that people in a hierarchy are promoted until no longer competent,https://en.m.wikipedia.org/wiki/Peter_principle,Q497359,2020-05-30 20:45:25,2020-05-30 20:45:25
Prisoner's dilemma,Canonical example of a game analyzed in game theory,https://en.m.wikipedia.org/wiki/Prisoner's_dilemma,Q41693,2020-05-30 20:45:25,2020-05-30 20:45:25
Rubric (academic),Scoring guide for assessment,https://en.m.wikipedia.org/wiki/Rubric_(academic),Q847349,2020-05-30 20:45:25,2020-05-30 20:45:25
Scientific management,Theory of management,https://en.m.wikipedia.org/wiki/Scientific_management,Q203549,2020-05-30 20:45:25,2020-05-30 20:45:25
Slavoj Žižek,Slovene philosopher,https://en.m.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,Q184750,2020-05-30 20:45:25,2020-05-30 20:45:25
Socratic method,Type of dialog or debate,https://en.m.wikipedia.org/wiki/Socratic_method,Q839475,2020-05-30 20:45:25,2020-05-30 20:45:25
Teetotalism,Abstinence from alcoholic beverages,https://en.m.wikipedia.org/wiki/Teetotalism,Q15131448,2020-05-30 20:45:25,2020-05-30 20:45:25
Terror management theory,Social and evolutionary psychology theory,https://en.m.wikipedia.org/wiki/Terror_management_theory,Q1474856,2020-05-30 20:45:25,2020-05-30 20:45:25
The Myth of Sisyphus,1942 book by Albert Camus,https://en.m.wikipedia.org/wiki/The_Myth_of_Sisyphus,Q1125903,2020-05-30 20:45:25,2020-05-30 20:45:25
Theory of mind,Ability to attribute mental states to oneself and others,https://en.m.wikipedia.org/wiki/Theory_of_mind,Q639219,2020-05-30 20:45:25,2020-05-30 20:45:25
Trolley problem,Thought experiment in ethics,https://en.m.wikipedia.org/wiki/Trolley_problem,Q1753199,2020-05-30 20:45:25,2020-05-30 20:45:25
Universal Darwinism,An attempt to expand the application of Darwinian evolutionary theory to other fields,https://en.m.wikipedia.org/wiki/Universal_Darwinism,Q7893935,2020-05-30 20:45:25,2020-05-30 20:45:25
Wim Hof,Dutch extreme athlete,https://en.m.wikipedia.org/wiki/Wim_Hof,Q926482,2020-05-30 20:45:25,2020-05-30 20:45:25
A Modest Proposal,1729 satirical essay by Jonathan Swift,https://en.wikipedia.org/wiki/A_Modest_Proposal,Q264143,2020-05-30 20:45:25,2020-05-30 20:45:25
Dialectic,Discourse method for resolving disagreement by reasoned argument,https://en.wikipedia.org/wiki/Dialectic,Q9453,2020-05-30 20:45:25,2020-05-30 20:45:25
Divide and rule,Strategy in politics and sociology,https://en.wikipedia.org/wiki/Divide_and_rule,Q68951,2020-05-30 20:45:25,2020-05-30 20:45:25
Epistemology,Branch of philosophy concerned with the nature and scope of knowledge,https://en.wikipedia.org/wiki/Epistemology,Q9471,2020-05-30 20:45:25,2020-05-30 20:45:25
Autodidacticism,Independent education without the guidance of masters,https://en.wikipedia.org/wiki/Autodidacticism,Q207650,2020-05-30 20:45:25,2020-05-30 20:45:25
Thomas Hobbes,17th-century English philosopher,https://en.wikipedia.org/wiki/Thomas_Hobbes,Q37621,2020-05-30 20:45:25,2020-05-30 20:45:25
