title,url,description,wikidata_id,inserted_at,updated_at
Albatross (metaphor),https://en.m.wikipedia.org/wiki/Albatross_(metaphor),Metaphor,Q4709452,2020-05-30 20:45:25,2020-05-30 20:45:25
Astroturfing,https://en.m.wikipedia.org/wiki/Astroturfing,"Marketing tactic of creating ""grassroots"" organizations",Q752177,2020-05-30 20:45:25,2020-05-30 20:45:25
Attention economy,https://en.m.wikipedia.org/wiki/Attention_economy,economic view of human attention as a commodity,Q295287,2020-05-30 20:45:25,2020-05-30 20:45:25
Autodidacticism,https://en.m.wikipedia.org/wiki/Autodidacticism,Independent education without the guidance of masters,Q207650,2020-05-30 20:45:25,2020-05-30 20:45:25
Bright-line rule,https://en.m.wikipedia.org/wiki/Bright-line_rule,Judicial test using clearly defined and objective factors,Q4967356,2020-05-30 20:45:25,2020-05-30 20:45:25
Café de olla,https://en.m.wikipedia.org/wiki/Caf%C3%A9_de_olla,Mexican coffee drink,Q5739217,2020-05-30 20:45:25,2020-05-30 20:45:25
Cargo cult programming,https://en.m.wikipedia.org/wiki/Cargo_cult_programming,Ritual inclusion of computer code that serve no purpose,Q1027351,2020-05-30 20:45:25,2020-05-30 20:45:25
Clever Hans,https://en.m.wikipedia.org/wiki/Clever_Hans,Early 20th-century horse claimed to have been able to do mathematics,Q1127291,2020-05-30 20:45:25,2020-05-30 20:45:25
Conscientiousness,https://en.m.wikipedia.org/wiki/Conscientiousness,Personality trait of being orderly and following the rules,Q1307067,2020-05-30 20:45:25,2020-05-30 20:45:25
Cumbia,https://en.m.wikipedia.org/wiki/Cumbia,Folkloric genre and dance from Colombia.,Q723418,2020-05-30 20:45:25,2020-05-30 20:45:25
Decoy effect,https://en.m.wikipedia.org/wiki/Decoy_effect,Phenomenon in marketing,Q205154,2020-05-30 20:45:25,2020-05-30 20:45:25
Double bind,https://en.m.wikipedia.org/wiki/Double_bind,Psychological dilemma,Q1242876,2020-05-30 20:45:25,2020-05-30 20:45:25
Dutch auction,https://en.m.wikipedia.org/wiki/Dutch_auction,"Type of auction which begins with a high asking price, and lowers it.",Q727746,2020-05-30 20:45:25,2020-05-30 20:45:25
Exceptionalism,https://en.m.wikipedia.org/wiki/Exceptionalism,"belief that a species, country, society, institution, movement, individual, or time period is ""exceptional",Q1076085,2020-05-30 20:45:25,2020-05-30 20:45:25
False consensus effect,https://en.m.wikipedia.org/wiki/False_consensus_effect,Attributional type of cognitive bias,Q908850,2020-05-30 20:45:25,2020-05-30 20:45:25
Falsifiability,https://en.m.wikipedia.org/wiki/Falsifiability,Possibility of a statement to be proven wrong by observation,Q220888,2020-05-30 20:45:25,2020-05-30 20:45:25
Faust,https://en.m.wikipedia.org/wiki/Faust,Protagonist of a classic German legend,Q332885,2020-05-30 20:45:25,2020-05-30 20:45:25
Fermat's principle,https://en.m.wikipedia.org/wiki/Fermat's_principle,Principle of least time,Q331041,2020-05-30 20:45:25,2020-05-30 20:45:25
Florida Man,https://en.m.wikipedia.org/wiki/Florida_Man,Internet meme about weird conduct by men from Florida,Q19879826,2020-05-30 20:45:25,2020-05-30 20:45:25
Hedonic treadmill,https://en.m.wikipedia.org/wiki/Hedonic_treadmill,Psychological concept,Q5697619,2020-05-30 20:45:25,2020-05-30 20:45:25
History of Chinese Americans,https://en.m.wikipedia.org/wiki/History_of_Chinese_Americans,History of ethnic Chinese in the United States,Q1516704,2020-05-30 20:45:25,2020-05-30 20:45:25
Homomorphic encryption,https://en.m.wikipedia.org/wiki/Homomorphic_encryption,A form of encryption that allows computation on ciphertexts,Q2154943,2020-05-30 20:45:25,2020-05-30 20:45:25
Inflection point,https://en.m.wikipedia.org/wiki/Inflection_point,Point where a curve crosses its tangent and the curvature changes of sign,Q212794,2020-05-30 20:45:25,2020-05-30 20:45:25
Kayfabe,https://en.m.wikipedia.org/wiki/Kayfabe,"In professional wrestling, the portrayal of staged events as if they were true",Q387294,2020-05-30 20:45:25,2020-05-30 20:45:25
Law of triviality,https://en.wikipedia.org/wiki/Law_of_triviality,Focusing on what is irrelevant but easy to understand,Q169899,2020-05-30 20:45:25,2020-05-30 20:45:25
Chauvet Cave,http://en.m.wikipedia.org/wiki/Chauvet_Cave,Cave in France with best-preserved cave paintings,Q374096,2020-05-30 20:45:25,2020-05-30 20:45:25
Linguistic relativity,https://en.m.wikipedia.org/wiki/Linguistic_relativity,linguistic hypothesis,Q179677,2020-05-30 20:45:25,2020-05-30 20:45:25
Nothing to hide argument,https://en.m.wikipedia.org/wiki/Nothing_to_hide_argument,Argument that one doesn't need privacy unless someone is doing something wrong,Q15627872,2020-05-30 20:45:25,2020-05-30 20:45:25
Ontology,https://en.m.wikipedia.org/wiki/Ontology,"Study of the nature of being, becoming, existence or reality, as well as the basic categories of being and their relations",Q44325,2020-05-30 20:45:25,2020-05-30 20:45:25
Overton window,https://en.m.wikipedia.org/wiki/Overton_window,Range of ideas tolerated in public discourse,Q542950,2020-05-30 20:45:25,2020-05-30 20:45:25
Peter principle,https://en.m.wikipedia.org/wiki/Peter_principle,Concept that people in a hierarchy are promoted until no longer competent,Q497359,2020-05-30 20:45:25,2020-05-30 20:45:25
Prisoner's dilemma,https://en.m.wikipedia.org/wiki/Prisoner's_dilemma,Canonical example of a game analyzed in game theory,Q41693,2020-05-30 20:45:25,2020-05-30 20:45:25
Rubric (academic),https://en.m.wikipedia.org/wiki/Rubric_(academic),Scoring guide for assessment,Q847349,2020-05-30 20:45:25,2020-05-30 20:45:25
Scientific management,https://en.m.wikipedia.org/wiki/Scientific_management,Theory of management,Q203549,2020-05-30 20:45:25,2020-05-30 20:45:25
Slavoj Žižek,https://en.m.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,Slovene philosopher,Q184750,2020-05-30 20:45:25,2020-05-30 20:45:25
Socratic method,https://en.m.wikipedia.org/wiki/Socratic_method,Type of dialog or debate,Q839475,2020-05-30 20:45:25,2020-05-30 20:45:25
Teetotalism,https://en.m.wikipedia.org/wiki/Teetotalism,Abstinence from alcoholic beverages,Q15131448,2020-05-30 20:45:25,2020-05-30 20:45:25
Terror management theory,https://en.m.wikipedia.org/wiki/Terror_management_theory,Social and evolutionary psychology theory,Q1474856,2020-05-30 20:45:25,2020-05-30 20:45:25
The Myth of Sisyphus,https://en.m.wikipedia.org/wiki/The_Myth_of_Sisyphus,1942 book by Albert Camus,Q1125903,2020-05-30 20:45:25,2020-05-30 20:45:25
Theory of mind,https://en.m.wikipedia.org/wiki/Theory_of_mind,Ability to attribute mental states to oneself and others,Q639219,2020-05-30 20:45:25,2020-05-30 20:45:25
Trolley problem,https://en.m.wikipedia.org/wiki/Trolley_problem,Thought experiment in ethics,Q1753199,2020-05-30 20:45:25,2020-05-30 20:45:25
Universal Darwinism,https://en.m.wikipedia.org/wiki/Universal_Darwinism,An attempt to expand the application of Darwinian evolutionary theory to other fields,Q7893935,2020-05-30 20:45:25,2020-05-30 20:45:25
Wim Hof,https://en.m.wikipedia.org/wiki/Wim_Hof,Dutch extreme athlete,Q926482,2020-05-30 20:45:25,2020-05-30 20:45:25
A Modest Proposal,https://en.wikipedia.org/wiki/A_Modest_Proposal,1729 satirical essay by Jonathan Swift,Q264143,2020-05-30 20:45:25,2020-05-30 20:45:25
